mark,text,url
1.0,"Ставлю оценку отлично, так как банк является самым лучшим банком при выборе огромного спектра продуктов и услуг.",https://www.banki.ru/services/responses/bank/response/10123356/
1.0,"Пару месяцев назад мне понадобилось 140-150 т.р. (решил свести три кредита в один). ПБ (ближайшее отделение в п. Ильском) был 4-м или 5-м, куда я обратился. Несмотря на отличную кредитную историю, в других банках получал отказ. Понятно, что и здесь смотрят ту же базу данных, но все-таки полного отказа не было. Реклама - приманка, как в большинстве банков. Например, под низкий процент предлагается лишь крупная сумма, в данном случае от 300 т.р.,  Далее сбор информации о клиенте - отказ - предложение на других условиях. Причем ставка может возрасти в 2 раза и более. Чтобы воспользоваться низкой ставкой я изменил заявку на 300 тыс., т.к. здесь конечная переплата меньше, чем если бы я взял 250. Уточненные условия банка - меньшая сумма, высокий %, большой срок и ""допы"" меня не устроили, я отказался. Дня через три мне позвонила их сотрудница из Ильской . Мне были предложены другие условия.: процент ниже, срок кредитования, страховка на выбор. Также за отдельную сумму я могу существенно снизить процентную ставку с перерасчетом после погашения кредита (хотя допускается досрочное погашение, но в этом случае закрыть надо не ранее, чем через год). Смысла приводить цифры нет, все индивидуально для каждого клиента. Все деньги поступают на карту моментально. Банкоматы расположены во многих почтовых отделениях. С картой ПБ дают карту сети магазинов ""Пятерочка"" с накоплением бонусов за покупки (при получении подбросят подарочные бонусы). Пригодится или нет, личное дело каждого. Её можно пополнить через банкомат или приложение с кредитной карты, и расплачиваться в магазине, за это идут двойные бонусы. Погашать кредит также можно через приложение, надо только заранее пополнить счет. Все операции с банкоматом без комиссий. Работу представительницы банка на 5, банка - пока на 3, нужно больше точек с банкоматами, в т.ч. действующие круглосуточно. Ну и, конечно, снизить ставки и т.д.",https://www.banki.ru/services/responses/bank/response/10123333/
0.0,Разочарованы работой банка Тинькофф Бизнес.,https://www.banki.ru/services/responses/bank/response/10123303/
0.0,"В одностороннем порядке повысили лимит кредитки на 90 тыс. р. (не в первый раз уже) и застраховали даже, тоже по собственной инициативе банка. Написала в мобильном чате, а он оказывается не обслуживает до конца праздников новогодних. Это так мило, учитывая что мобильный банк платный!! Для того что бы вернуть лимит на место и убрать страховку за которую деньги они уже списали надо либо ехать в отделение, либо звонить в банк. Звонок отнял у меня почти 10 минут моего рабочего времени. Почему я вообще должна напрягаться по вине банка? Доколе мне будут повышать лимит и отнимать время и деньги кстати? Комиссию за страховку мне вернут в течение 3 рабочих дней. Не плохой куш для банка в одностороннем порядке списывать комиссию за страховку кредитных карт клиентов... страховку, которую они не выбирали и не подписывали, и гонять эти деньги несколько дней, а некоторые и не заметят, что застраховались неожиданно.!",https://www.banki.ru/services/responses/bank/response/10123279/
0.0,Дорогой Ситибанк!,https://www.banki.ru/services/responses/bank/response/10123332/
0.0,Добрый день,https://www.banki.ru/services/responses/bank/response/10123148/
0.0,"18/12/2017 посетил офис ВТБ24 для получения кредита наличными с целью рефинансирования ранее взятого кредита. Менеджеру было сразу же сообщено, что не нужны никакие страховые продукты, только кредит. Менеджер кредитного отдела сказал, дословно: ""Чтобы одобрить сумму кредита в размере 400 000 руб., вам будет застраховать основной долг  - это условие банка ВТБ24, при досрочном погашении, график платежей будет перерасчитан, за вычетом страховки. - Все в онлайн банке ВТБ""",https://www.banki.ru/services/responses/bank/response/10123201/
1.0,"К сожалению, после перехода на систему Мир бесплатные СМС-оповещения приходить перестали, не смотря на то, что я 2 раза ходила в офис и один раз звонила по горячей линии. Самостоятельно подключить это оповещение через мобильный банк тоже непонятно как.",https://www.banki.ru/services/responses/bank/response/10123200/
0.0,"Около 5 лет назад начала пользоваться Тинькофф Банком и была очень довольна - нигде не было такого качественного обслуживания, удобства, и точной работы. Я даже рекомендовала банк всем своим знакомым, но сейчас хочется взять свои слова обратно. На протяжении нескольких месяцев замечаю нестабильную работу онлайн банка, а именно транзакции и баланс обновляются с огромной задержкой, иногда доходит и до целых суток. Сейчас например мне прислали довольно крупную сумму денег, появилось pesh уведомление, а в интернет банке в транзакциях этой операциии нет и баланс все еще прежний. А как узнать, что деньги то точно пришли? Откуда было уведомление? Я уже обращалась в банк с этой проблемой, но ничего не было сделано.",https://www.banki.ru/services/responses/bank/response/10123122/
0.0,"Редкостный банк... Являюсь заемщиком банка, плачу вовремя и без проблем. Но, не получилось застраховаться в нужный срок по договору кредитования. И тут началось... Не думал что позвонят с банка и в достаточно жесткой форме а-ля коллекторы начнут давить, чтобы получил страховку и предоставил им до 2 января (сегодня при этом четверг 28 декабря. Цена вопроса страховки всего 1000, но банку видимо проще испортить отношение с выгодным клинтом, чем отступить немного от правил. Крайне не рекомендую, общение на низком уровне. И просьба к представителю банка: не нужно отвечать, все ваши ответы-банальные отписки. Я свой выбор сделал...",https://www.banki.ru/services/responses/bank/response/10123331/
